INVEST_DT,RPTV_ITM_NM,ITM_CD,ITM_NM,GRADE_CD,G_NAME,UNIT_QTY,UNIT,MI_P,MA_P,AV_P,FLT_P,PAV_RATE,J_7_RATE,J_365_RATE
2025.02.01,감자,15200,감자,3,하,20,20kg상자,3000,27000,14836,14836,0,"17,687(83.9%)","18,396(80.6%)"
2025.02.03,감자,15200,감자,0,특,20,20kg상자,67000,68000,67235,-2390,"69,625(96.6%)","68,542(98.1%)","62,691(107.2%)"
2025.02.03,감자,15200,감자,1,상,20,20kg상자,40000,67000,55996,-7731,"63,727(87.9%)","65,179(85.9%)","40,685(137.6%)"
2025.02.03,감자,15200,감자,2,보통,20,20kg상자,25000,40000,31521,-6154,"37,675(83.7%)","45,348(69.5%)","24,347(129.5%)"
2025.02.03,감자,15200,감자,3,하,20,20kg상자,500,25000,14498,-338,"14,836(97.7%)","17,719(81.8%)","16,034(90.4%)"
2025.02.04,감자,15200,감자,0,특,20,20kg상자,62500,64000,63255,-3980,"67,235(94.1%)","68,287(92.6%)","62,691(100.9%)"
2025.02.04,감자,15200,감자,1,상,20,20kg상자,38000,62500,50598,-5398,"55,996(90.4%)","61,876(81.8%)","40,685(124.4%)"
2025.02.04,감자,15200,감자,2,보통,20,20kg상자,26000,38000,32378,857,"31,521(102.7%)","39,460(82.1%)","24,347(133%)"
2025.02.04,감자,15200,감자,3,하,20,20kg상자,1000,26000,15145,647,"14,498(104.5%)","16,165(93.7%)","16,034(94.5%)"
2025.02.05,감자,15200,감자,0,특,20,20kg상자,65000,68000,66406,3151,"63,255(105%)","66,705(99.6%)","68,358(97.1%)"
2025.02.05,감자,15200,감자,1,상,20,20kg상자,40000,65000,55610,5012,"50,598(109.9%)","56,774(97.9%)","59,539(93.4%)"
2025.02.05,감자,15200,감자,2,보통,20,20kg상자,21000,40000,27845,-4533,"32,378(86%)","33,858(82.2%)","32,954(84.5%)"
2025.02.05,감자,15200,감자,3,하,20,20kg상자,2000,21000,14137,-1008,"15,145(93.3%)","14,826(95.4%)","17,852(79.2%)"
2025.02.06,감자,15200,감자,0,특,20,20kg상자,66000,73000,68473,2067,"66,406(103.1%)","66,630(102.8%)","70,270(97.4%)"
2025.02.06,감자,15200,감자,1,상,20,20kg상자,34000,66000,50661,-4949,"55,610(91.1%)","56,483(89.7%)","64,402(78.7%)"
2025.02.06,감자,15200,감자,2,보통,20,20kg상자,18500,34000,26742,-1103,"27,845(96%)","32,355(82.7%)","42,042(63.6%)"
2025.02.06,감자,15200,감자,3,하,20,20kg상자,3000,18500,12574,-1563,"14,137(88.9%)","14,654(85.8%)","20,325(61.9%)"
2025.02.07,감자,15200,감자,0,특,20,20kg상자,73000,76000,73953,5480,"68,473(108%)","66,999(110.4%)","70,154(105.4%)"
2025.02.07,감자,15200,감자,1,상,20,20kg상자,66000,73000,69989,19328,"50,661(138.2%)","55,318(126.5%)","67,740(103.3%)"
2025.02.07,감자,15200,감자,2,보통,20,20kg상자,34500,66000,51678,24936,"26,742(193.2%)","31,232(165.5%)","52,468(98.5%)"
2025.02.07,감자,15200,감자,3,하,20,20kg상자,9000,34500,19285,6711,"12,574(153.4%)","14,238(135.4%)","21,258(90.7%)"
2025.02.08,감자,15200,감자,0,특,20,20kg상자,70000,73000,71375,-2578,"73,953(96.5%)","68,158(104.7%)","67,167(106.3%)"
2025.02.08,감자,15200,감자,1,상,20,20kg상자,46000,70000,60422,-9567,"69,989(86.3%)","57,764(104.6%)","59,135(102.2%)"
2025.02.08,감자,15200,감자,2,보통,20,20kg상자,28000,46000,36607,-15071,"51,678(70.8%)","34,640(105.7%)","32,419(112.9%)"
2025.02.08,감자,15200,감자,3,하,20,20kg상자,7000,28000,16161,-3124,"19,285(83.8%)","15,079(107.2%)","17,663(91.5%)"
2025.02.10,감자,15200,감자,0,특,20,20kg상자,73000,74000,73889,2514,"71,375(103.5%)","68,450(107.9%)",0
2025.02.10,감자,15200,감자,1,상,20,20kg상자,46000,73000,62124,1702,"60,422(102.8%)","57,213(108.6%)",0
2025.02.10,감자,15200,감자,2,보통,20,20kg상자,23000,46000,33945,-2662,"36,607(92.7%)","34,462(98.5%)",0
2025.02.10,감자,15200,감자,3,하,20,20kg상자,1500,23000,15303,-858,"16,161(94.7%)","15,300(100%)",0
2025.02.11,감자,15200,감자,0,특,20,20kg상자,73000,77500,75595,1706,"73,889(102.3%)","69,559(108.7%)",0
2025.02.11,감자,15200,감자,1,상,20,20kg상자,60000,73000,67665,5541,"62,124(108.9%)","58,234(116.2%)",0
2025.02.11,감자,15200,감자,2,보통,20,20kg상자,33000,60000,43537,9592,"33,945(128.3%)","34,866(124.9%)",0
2025.02.11,감자,15200,감자,3,하,20,20kg상자,1000,33000,19730,4427,"15,303(128.9%)","15,434(127.8%)",0
2025.02.13,감자,15200,감자,0,특,20,20kg상자,76000,80500,79200,79200,0,"72,657(109%)","66,219(119.6%)"
2025.02.13,감자,15200,감자,1,상,20,20kg상자,47000,76000,63895,63895,0,"62,172(102.8%)","57,495(111.1%)"
2025.02.13,감자,15200,감자,2,보통,20,20kg상자,28000,47000,37207,37207,0,"38,502(96.6%)","35,179(105.8%)"
2025.02.13,감자,15200,감자,3,하,20,20kg상자,5000,28000,17010,17010,0,"16,611(102.4%)","19,027(89.4%)"
2025.02.14,감자,15200,감자,0,특,20,20kg상자,78000,81000,80113,913,"79,200(101.2%)","74,802(107.1%)","64,270(124.7%)"
2025.02.14,감자,15200,감자,1,상,20,20kg상자,61000,78000,69212,5317,"63,895(108.3%)","64,819(106.8%)","54,164(127.8%)"
2025.02.14,감자,15200,감자,2,보통,20,20kg상자,24000,61000,40340,3133,"37,207(108.4%)","40,595(99.4%)","34,621(116.5%)"
2025.02.14,감자,15200,감자,3,하,20,20kg상자,4000,24000,16127,-883,"17,010(94.8%)","17,498(92.2%)","17,078(94.4%)"
2025.02.15,감자,15200,감자,0,특,20,20kg상자,78000,81000,79308,-805,"80,113(99%)","76,034(104.3%)","62,171(127.6%)"
2025.02.15,감자,15200,감자,1,상,20,20kg상자,62000,78000,68011,-1201,"69,212(98.3%)","64,664(105.2%)","55,352(122.9%)"
2025.02.15,감자,15200,감자,2,보통,20,20kg상자,21000,62000,33554,-6786,"40,340(83.2%)","38,327(87.5%)","34,065(98.5%)"
2025.02.15,감자,15200,감자,3,하,20,20kg상자,1500,21000,14164,-1963,"16,127(87.8%)","16,866(84%)","20,220(70%)"
2025.02.17,감자,15200,감자,0,특,20,20kg상자,75000,80000,77336,-1972,"79,308(97.5%)","77,621(99.6%)","67,920(113.9%)"
