INVEST_DT,RPTV_ITM_NM,ITM_CD,ITM_NM,GRADE_CD,G_NAME,UNIT_QTY,UNIT,MI_P,MA_P,AV_P,FLT_P,PAV_RATE,J_7_RATE,J_365_RATE
2020.02.26,감자,15200,감자,0,특,20,20kg상자,74000,76000,75499,12363,"63,136(119.6%)","58,366(129.4%)","52,297(144.4%)"
2020.02.26,감자,15200,감자,1,상,20,20kg상자,19000,74000,41809,-3807,"45,616(91.7%)","35,483(117.8%)","34,535(121.1%)"
2020.02.26,감자,15200,감자,2,보통,20,20kg상자,11500,19000,15350,-237,"15,587(98.5%)","12,795(120%)","15,106(101.6%)"
2020.02.26,감자,15200,감자,3,하,20,20kg상자,1000,11500,7293,-327,"7,620(95.7%)","5,785(126.1%)","7,339(99.4%)"
2020.02.27,감자,15200,감자,0,특,20,20kg상자,85000,87000,86177,10678,"75,499(114.1%)","61,640(139.8%)","55,336(155.7%)"
2020.02.27,감자,15200,감자,1,상,20,20kg상자,26500,85000,68288,26479,"41,809(163.3%)","37,280(183.2%)","40,190(169.9%)"
2020.02.27,감자,15200,감자,2,보통,20,20kg상자,13500,26500,18642,3292,"15,350(121.4%)","13,020(143.2%)","19,927(93.6%)"
2020.02.27,감자,15200,감자,3,하,20,20kg상자,1000,13500,9423,2130,"7,293(129.2%)","5,867(160.6%)","9,198(102.4%)"
2020.02.28,감자,15200,감자,0,특,20,20kg상자,99000,103000,100214,14037,"86,177(116.3%)","66,513(150.7%)","58,972(169.9%)"
2020.02.28,감자,15200,감자,1,상,20,20kg상자,22000,99000,46796,-21492,"68,288(68.5%)","43,943(106.5%)","47,016(99.5%)"
2020.02.28,감자,15200,감자,2,보통,20,20kg상자,13500,22000,17533,-1109,"18,642(94.1%)","14,169(123.7%)","21,773(80.5%)"
2020.02.28,감자,15200,감자,3,하,20,20kg상자,500,13500,7918,-1505,"9,423(84%)","6,514(121.6%)","12,063(65.6%)"
2020.02.29,감자,15200,감자,0,특,20,20kg상자,95000,98000,96089,-4125,"100,214(95.9%)","73,663(130.4%)","58,972(162.9%)"
2020.02.29,감자,15200,감자,1,상,20,20kg상자,20000,95000,65677,18881,"46,796(140.3%)","46,525(141.2%)","47,016(139.7%)"
2020.02.29,감자,15200,감자,2,보통,20,20kg상자,13000,20000,16034,-1499,"17,533(91.5%)","15,222(105.3%)","21,773(73.6%)"
2020.02.29,감자,15200,감자,3,하,20,20kg상자,1500,13000,9245,1327,"7,918(116.8%)","7,005(132%)","12,063(76.6%)"
2020.03.02,감자,15200,감자,0,특,20,20kg상자,72000,85000,77274,-18815,"96,089(80.4%)","80,201(96.4%)","64,500(119.8%)"
2020.03.02,감자,15200,감자,1,상,20,20kg상자,18500,72000,49457,-16220,"65,677(75.3%)","50,947(97.1%)","58,161(85%)"
2020.03.02,감자,15200,감자,2,보통,20,20kg상자,10000,18500,13575,-2459,"16,034(84.7%)","16,005(84.8%)","31,453(43.2%)"
2020.03.02,감자,15200,감자,3,하,20,20kg상자,1000,10000,5994,-3251,"9,245(64.8%)","7,822(76.6%)","12,674(47.3%)"
2020.03.03,감자,15200,감자,0,특,20,20kg상자,78000,80000,79103,1829,"77,274(102.4%)","83,065(95.2%)","64,500(122.6%)"
2020.03.03,감자,15200,감자,1,상,20,20kg상자,15000,78000,34592,-14865,"49,457(69.9%)","52,941(65.3%)","58,161(59.5%)"
2020.03.03,감자,15200,감자,2,보통,20,20kg상자,8000,15000,10558,-3017,"13,575(77.8%)","16,120(65.5%)","31,453(33.6%)"
2020.03.03,감자,15200,감자,3,하,20,20kg상자,500,8000,4173,-1821,"5,994(69.6%)","7,916(52.7%)","12,674(32.9%)"
2020.03.04,감자,15200,감자,0,특,20,20kg상자,75000,80000,78178,-925,"79,103(98.8%)","85,726(91.2%)","63,138(123.8%)"
2020.03.04,감자,15200,감자,1,상,20,20kg상자,23000,75000,53569,18977,"34,592(154.9%)","51,103(104.8%)","53,674(99.8%)"
2020.03.04,감자,15200,감자,2,보통,20,20kg상자,8000,23000,13683,3125,"10,558(129.6%)","15,282(89.5%)","24,323(56.3%)"
2020.03.04,감자,15200,감자,3,하,20,20kg상자,1000,8000,5623,1450,"4,173(134.7%)","7,341(76.6%)","12,991(43.3%)"
2020.03.05,감자,15200,감자,0,특,20,20kg상자,64000,73000,66552,-11626,"78,178(85.1%)","86,173(77.2%)","63,747(104.4%)"
2020.03.05,감자,15200,감자,1,상,20,20kg상자,19000,64000,37665,-15904,"53,569(70.3%)","53,063(71%)","52,687(71.5%)"
2020.03.05,감자,15200,감자,2,보통,20,20kg상자,10000,19000,13615,-68,"13,683(99.5%)","15,004(90.7%)","24,974(54.5%)"
2020.03.05,감자,15200,감자,3,하,20,20kg상자,1000,10000,6461,838,"5,623(114.9%)","7,063(91.5%)","11,928(54.2%)"
2020.03.06,감자,15200,감자,0,특,20,20kg상자,60000,72000,66438,-114,"66,552(99.8%)","82,902(80.1%)","59,701(111.3%)"
2020.03.06,감자,15200,감자,1,상,20,20kg상자,17000,60000,37600,-65,"37,665(99.8%)","47,959(78.4%)","44,429(84.6%)"
2020.03.06,감자,15200,감자,2,보통,20,20kg상자,8000,17000,12080,-1535,"13,615(88.7%)","14,166(85.3%)","21,257(56.8%)"
2020.03.06,감자,15200,감자,3,하,20,20kg상자,1000,8000,5794,-667,"6,461(89.7%)","6,569(88.2%)","10,753(53.9%)"
2020.03.07,감자,15200,감자,0,특,20,20kg상자,64000,71000,67068,630,"66,438(100.9%)","77,272(86.8%)","58,445(114.8%)"
2020.03.07,감자,15200,감자,1,상,20,20kg상자,17000,64000,33618,-3982,"37,600(89.4%)","46,427(72.4%)","43,747(76.8%)"
2020.03.07,감자,15200,감자,2,보통,20,20kg상자,7000,17000,11772,-308,"12,080(97.5%)","13,258(88.8%)","17,932(65.6%)"
2020.03.07,감자,15200,감자,3,하,20,20kg상자,1000,7000,6342,548,"5,794(109.5%)","6,215(102%)","8,701(72.9%)"
2020.03.09,감자,15200,감자,0,특,20,20kg상자,63000,68000,66440,-628,"67,068(99.1%)","72,436(91.7%)","61,253(108.5%)"
2020.03.09,감자,15200,감자,1,상,20,20kg상자,18000,63000,38062,4444,"33,618(113.2%)","41,084(92.6%)","48,139(79.1%)"
2020.03.09,감자,15200,감자,2,보통,20,20kg상자,7500,18000,12051,279,"11,772(102.4%)","12,547(96%)","17,815(67.6%)"
2020.03.09,감자,15200,감자,3,하,20,20kg상자,1000,7500,5700,-642,"6,342(89.9%)","5,731(99.5%)","7,909(72.1%)"
